action_id,linked_risk_id,collection_id,action_type,action_description,owner,due_date,completion_date,status,expected_impact,priority,risk_id,risk_type,severity,risk_score,workstream,collection_name,brand_id,brand_name,market,season,launch_date,launch_channel,is_overdue,due_in_14_days
ACT0001,RSK0103,COL017,Confirm contingency plan,Update product content for marketing delay risk before launch gate,Sourcing Lead,2027-04-01,2027-03-27,Completed,Protect launch scope,High,RSK0103,marketing delay,Critical,16,production,Zara Woman Studio Holiday 25,BR001,Zara,Portugal,Holiday 25,2027-03-28,Retail,False,False
ACT0002,RSK0180,COL008,Confirm contingency plan,Reallocate stock for logistics delay risk before launch gate,Production Planner,2026-07-24,2026-07-16,Completed,Lower rework risk,Low,RSK0180,logistics delay,Low,3,design,Massimo Dutti Tailoring Holiday 25,BR003,Massimo Dutti,Italy,Holiday 25,2026-09-14,Omnichannel,False,False
ACT0003,RSK0093,COL005,Confirm contingency plan,Add warehouse slot for quality failure risk before launch gate,E-commerce Producer,2026-06-26,2026-06-21,Completed,Lower rework risk,High,RSK0093,quality failure,Low,2,ecommerce,Massimo Dutti Atelier Summer 25,BR003,Massimo Dutti,Mexico,Summer 25,2026-07-25,Omnichannel,False,False
ACT0004,RSK0015,COL027,Validate compliance documents,Validate compliance documents for customs issue risk before launch gate,Production Planner,2027-02-24,,In Progress,Contain cost exposure,High,RSK0015,customs issue,Medium,9,marketing,Zara Origins AW25,BR001,Zara,Mexico,AW25,2027-03-26,Omnichannel,False,False
ACT0005,RSK0107,COL029,Reallocate stock,Confirm contingency plan for logistics delay risk before launch gate,Retail Operations,2026-07-14,2026-07-16,Completed,Lower rework risk,Critical,RSK0107,logistics delay,Medium,8,sourcing,Pull&Bear Graphic Edit Holiday 25,BR002,Pull&Bear,Poland,Holiday 25,2026-09-25,Omnichannel,False,False
ACT0006,RSK0072,COL013,Add warehouse slot,Validate compliance documents for marketing delay risk before launch gate,Logistics Lead,2027-01-11,2027-01-04,Completed,Reduce launch delay,Medium,RSK0072,marketing delay,Medium,8,warehouse_allocation,Stradivarius Denim SS25,BR005,Stradivarius,United States,SS25,2027-02-02,Omnichannel,False,False
ACT0007,RSK0189,COL002,Switch supplier,Escalate quality review for quality failure risk before launch gate,Quality Manager,2026-09-18,,In Progress,Protect launch scope,Medium,RSK0189,quality failure,Medium,8,marketing,Oysho Ski AW25,BR006,Oysho,Portugal,AW25,2026-10-30,Omnichannel,False,False
ACT0008,RSK0021,COL014,Validate compliance documents,Update product content for compliance issue risk before launch gate,Quality Manager,2026-10-20,,Not Started,Lower rework risk,Low,RSK0021,compliance issue,Low,2,inbound_logistics,Pull&Bear Denim Drop AW25,BR002,Pull&Bear,Italy,AW25,2026-11-09,Omnichannel,False,False
ACT0009,RSK0103,COL017,Approve partial launch,Update product content for marketing delay risk before launch gate,Sourcing Lead,2027-03-24,,In Progress,Contain cost exposure,High,RSK0103,marketing delay,Critical,16,production,Zara Woman Studio Holiday 25,BR001,Zara,Portugal,Holiday 25,2027-03-28,Retail,False,False
ACT0010,RSK0122,COL025,Validate compliance documents,Validate compliance documents for packaging delay risk before launch gate,Merchandising,2027-01-26,,In Progress,Contain cost exposure,Medium,RSK0122,packaging delay,Medium,8,marketing,Zara Kids Back to School SS25,BR001,Zara,United Kingdom,SS25,2027-02-26,Retail,False,False
ACT0011,RSK0075,COL016,Approve partial launch,Update product content for production backlog risk before launch gate,Sourcing Lead,2026-09-11,,Overdue,Contain cost exposure,High,RSK0075,production backlog,High,12,sourcing,Oysho Training SS25,BR006,Oysho,Portugal,SS25,2026-08-31,E-commerce,False,False
ACT0012,RSK0088,COL012,Validate compliance documents,Validate compliance documents for ecommerce readiness risk before launch gate,PMO,2026-10-08,,In Progress,Reduce launch delay,Critical,RSK0088,ecommerce readiness,Critical,16,warehouse_allocation,Zara Home Kids Home SS25,BR007,Zara Home,Netherlands,SS25,2026-12-06,E-commerce,False,False
ACT0013,RSK0117,COL003,Update product content,Approve partial launch for compliance issue risk before launch gate,Quality Manager,2026-11-14,,Overdue,Protect launch scope,Medium,RSK0117,compliance issue,High,12,design,Oysho Training Summer 25,BR006,Oysho,United States,Summer 25,2027-01-07,Omnichannel,False,False
ACT0014,RSK0100,COL005,Update product content,Reallocate stock for stock allocation risk before launch gate,Production Planner,2026-05-13,2026-05-07,Completed,Reduce launch delay,Low,RSK0100,stock allocation,Medium,8,warehouse_allocation,Massimo Dutti Atelier Summer 25,BR003,Massimo Dutti,Mexico,Summer 25,2026-07-25,Omnichannel,False,False
ACT0015,RSK0104,COL030,Expedite shipment,Expedite shipment for stock allocation risk before launch gate,Merchandising,2026-12-15,,Not Started,Protect launch scope,Critical,RSK0104,stock allocation,Medium,5,design,Zara Home Tableware SS25,BR007,Zara Home,Spain,SS25,2026-12-21,E-commerce,False,False
ACT0016,RSK0152,COL029,Switch supplier,Reallocate stock for ecommerce readiness risk before launch gate,Marketing Manager,2026-06-11,2026-06-09,Completed,Contain cost exposure,Medium,RSK0152,ecommerce readiness,High,10,inbound_logistics,Pull&Bear Graphic Edit Holiday 25,BR002,Pull&Bear,Poland,Holiday 25,2026-09-25,Omnichannel,False,False
ACT0017,RSK0131,COL012,Update product content,Validate compliance documents for stock allocation risk before launch gate,Compliance Lead,2026-10-21,,Overdue,Protect launch scope,Critical,RSK0131,stock allocation,Low,4,marketing,Zara Home Kids Home SS25,BR007,Zara Home,Netherlands,SS25,2026-12-06,E-commerce,False,False
ACT0018,RSK0150,COL019,Update product content,Expedite shipment for compliance issue risk before launch gate,Merchandising,2027-01-30,2027-01-24,Completed,Contain cost exposure,Medium,RSK0150,compliance issue,Low,4,quality_control,Pull&Bear Graphic Edit SS25,BR002,Pull&Bear,Portugal,SS25,2027-03-01,Omnichannel,False,False
ACT0019,RSK0053,COL026,Reallocate stock,Approve partial launch for supplier capacity risk before launch gate,Quality Manager,2026-06-22,,Not Started,Reduce launch delay,High,RSK0053,supplier capacity,Medium,6,inbound_logistics,Pull&Bear Campus Summer 25,BR002,Pull&Bear,United Kingdom,Summer 25,2026-08-10,Retail,False,False
ACT0020,RSK0002,COL026,Expedite shipment,Update product content for data/content issue risk before launch gate,Merchandising,2026-05-27,,Overdue,Reduce launch delay,High,RSK0002,data/content issue,High,10,production,Pull&Bear Campus Summer 25,BR002,Pull&Bear,United Kingdom,Summer 25,2026-08-10,Retail,False,False
ACT0021,RSK0088,COL012,Approve partial launch,Update product content for ecommerce readiness risk before launch gate,PMO,2026-10-27,,Overdue,Protect launch scope,Low,RSK0088,ecommerce readiness,Critical,16,warehouse_allocation,Zara Home Kids Home SS25,BR007,Zara Home,Netherlands,SS25,2026-12-06,E-commerce,False,False
ACT0022,RSK0158,COL006,Expedite shipment,Update product content for compliance issue risk before launch gate,Retail Operations,2026-12-29,,In Progress,Contain cost exposure,Critical,RSK0158,compliance issue,Critical,20,retail_readiness,Stradivarius Accessories Summer 25,BR005,Stradivarius,United Kingdom,Summer 25,2027-01-08,Omnichannel,False,False
ACT0023,RSK0038,COL016,Escalate quality review,Update product content for marketing delay risk before launch gate,PMO,2026-08-31,,In Progress,Reduce launch delay,High,RSK0038,marketing delay,Low,4,ecommerce,Oysho Training SS25,BR006,Oysho,Portugal,SS25,2026-08-31,E-commerce,False,False
ACT0024,RSK0130,COL005,Update product content,Reprioritize campaign assets for stock allocation risk before launch gate,Logistics Lead,2026-05-27,,In Progress,Improve readiness confidence,Critical,RSK0130,stock allocation,Critical,16,warehouse_allocation,Massimo Dutti Atelier Summer 25,BR003,Massimo Dutti,Mexico,Summer 25,2026-07-25,Omnichannel,False,False
ACT0025,RSK0188,COL024,Expedite shipment,Approve partial launch for marketing delay risk before launch gate,Quality Manager,2026-08-11,,In Progress,Protect launch scope,Medium,RSK0188,marketing delay,Low,2,ecommerce,Zara Man Essentials SS25,BR001,Zara,United States,SS25,2026-10-20,Omnichannel,False,False
ACT0026,RSK0021,COL014,Switch supplier,Switch supplier for compliance issue risk before launch gate,Quality Manager,2026-10-10,2026-10-04,Completed,Contain cost exposure,Critical,RSK0021,compliance issue,Low,2,inbound_logistics,Pull&Bear Denim Drop AW25,BR002,Pull&Bear,Italy,AW25,2026-11-09,Omnichannel,False,False
ACT0027,RSK0161,COL010,Switch supplier,Reprioritize campaign assets for packaging delay risk before launch gate,Retail Operations,2026-05-20,,Overdue,Reduce launch delay,Low,RSK0161,packaging delay,Low,4,launch_governance,Zara Home Bed Linen Summer 25,BR007,Zara Home,Germany,Summer 25,2026-07-23,Marketplace,False,False
ACT0028,RSK0058,COL021,Expedite shipment,Confirm contingency plan for supplier capacity risk before launch gate,Compliance Lead,2026-11-02,,In Progress,Contain cost exposure,Medium,RSK0058,supplier capacity,Medium,5,ecommerce,Pull&Bear Graphic Edit SS25,BR002,Pull&Bear,United States,SS25,2026-10-26,E-commerce,False,False
ACT0029,RSK0022,COL002,Add warehouse slot,Update product content for customs issue risk before launch gate,Merchandising,2026-09-07,,In Progress,Lower rework risk,Critical,RSK0022,customs issue,Medium,8,design,Oysho Ski AW25,BR006,Oysho,Portugal,AW25,2026-10-30,Omnichannel,False,False
ACT0030,RSK0089,COL016,Update product content,Escalate quality review for customs issue risk before launch gate,Retail Operations,2026-07-15,,In Progress,Contain cost exposure,Medium,RSK0089,customs issue,Medium,6,marketing,Oysho Training SS25,BR006,Oysho,Portugal,SS25,2026-08-31,E-commerce,False,False
ACT0031,RSK0049,COL029,Escalate quality review,Reallocate stock for supplier capacity risk before launch gate,Merchandising,2026-08-01,,In Progress,Contain cost exposure,High,RSK0049,supplier capacity,Low,4,launch_governance,Pull&Bear Graphic Edit Holiday 25,BR002,Pull&Bear,Poland,Holiday 25,2026-09-25,Omnichannel,False,False
ACT0032,RSK0059,COL008,Add warehouse slot,Switch supplier for quality failure risk before launch gate,Merchandising,2026-09-21,,In Progress,Contain cost exposure,Medium,RSK0059,quality failure,Medium,9,inbound_logistics,Massimo Dutti Tailoring Holiday 25,BR003,Massimo Dutti,Italy,Holiday 25,2026-09-14,Omnichannel,False,False
ACT0033,RSK0170,COL024,Escalate quality review,Escalate quality review for compliance issue risk before launch gate,PMO,2026-10-19,,Not Started,Reduce launch delay,High,RSK0170,compliance issue,Low,4,warehouse_allocation,Zara Man Essentials SS25,BR001,Zara,United States,SS25,2026-10-20,Omnichannel,False,False
ACT0034,RSK0188,COL024,Escalate quality review,Add warehouse slot for marketing delay risk before launch gate,Quality Manager,2026-08-11,,Overdue,Reduce launch delay,High,RSK0188,marketing delay,Low,2,ecommerce,Zara Man Essentials SS25,BR001,Zara,United States,SS25,2026-10-20,Omnichannel,False,False
ACT0035,RSK0015,COL027,Reprioritize campaign assets,Escalate quality review for customs issue risk before launch gate,Production Planner,2027-02-28,,In Progress,Protect launch scope,High,RSK0015,customs issue,Medium,9,marketing,Zara Origins AW25,BR001,Zara,Mexico,AW25,2027-03-26,Omnichannel,False,False
ACT0036,RSK0190,COL021,Reallocate stock,Approve partial launch for customs issue risk before launch gate,Quality Manager,2026-09-22,,In Progress,Lower rework risk,Low,RSK0190,customs issue,Low,4,ecommerce,Pull&Bear Graphic Edit SS25,BR002,Pull&Bear,United States,SS25,2026-10-26,E-commerce,False,False
ACT0037,RSK0190,COL021,Validate compliance documents,Reallocate stock for customs issue risk before launch gate,Quality Manager,2026-10-04,,Overdue,Protect launch scope,High,RSK0190,customs issue,Low,4,ecommerce,Pull&Bear Graphic Edit SS25,BR002,Pull&Bear,United States,SS25,2026-10-26,E-commerce,False,False
ACT0038,RSK0175,COL002,Confirm contingency plan,Reprioritize campaign assets for logistics delay risk before launch gate,Compliance Lead,2026-08-14,,In Progress,Improve readiness confidence,High,RSK0175,logistics delay,Medium,6,design,Oysho Ski AW25,BR006,Oysho,Portugal,AW25,2026-10-30,Omnichannel,False,False
ACT0039,RSK0190,COL021,Switch supplier,Switch supplier for customs issue risk before launch gate,Quality Manager,2026-09-28,,In Progress,Contain cost exposure,Medium,RSK0190,customs issue,Low,4,ecommerce,Pull&Bear Graphic Edit SS25,BR002,Pull&Bear,United States,SS25,2026-10-26,E-commerce,False,False
ACT0040,RSK0051,COL020,Reallocate stock,Add warehouse slot for packaging delay risk before launch gate,Production Planner,2026-05-24,2026-05-22,Completed,Improve readiness confidence,High,RSK0051,packaging delay,High,12,sourcing,Oysho Training Summer 25,BR006,Oysho,Spain,Summer 25,2026-08-31,Retail,False,False
ACT0041,RSK0108,COL017,Approve partial launch,Approve partial launch for compliance issue risk before launch gate,Retail Operations,2027-01-12,,In Progress,Protect launch scope,Medium,RSK0108,compliance issue,Critical,16,retail_readiness,Zara Woman Studio Holiday 25,BR001,Zara,Portugal,Holiday 25,2027-03-28,Retail,False,False
ACT0042,RSK0055,COL013,Expedite shipment,Reallocate stock for ecommerce readiness risk before launch gate,Retail Operations,2027-01-26,,In Progress,Protect launch scope,High,RSK0055,ecommerce readiness,Medium,9,sourcing,Stradivarius Denim SS25,BR005,Stradivarius,United States,SS25,2027-02-02,Omnichannel,False,False
ACT0043,RSK0064,COL010,Expedite shipment,Escalate quality review for quality failure risk before launch gate,PMO,2026-05-27,,In Progress,Reduce launch delay,High,RSK0064,quality failure,Low,4,sourcing,Zara Home Bed Linen Summer 25,BR007,Zara Home,Germany,Summer 25,2026-07-23,Marketplace,False,False
ACT0044,RSK0131,COL012,Update product content,Add warehouse slot for stock allocation risk before launch gate,Compliance Lead,2026-10-27,,In Progress,Reduce launch delay,Critical,RSK0131,stock allocation,Low,4,marketing,Zara Home Kids Home SS25,BR007,Zara Home,Netherlands,SS25,2026-12-06,E-commerce,False,False
ACT0045,RSK0051,COL020,Expedite shipment,Update product content for packaging delay risk before launch gate,Production Planner,2026-05-30,2026-05-29,Completed,Improve readiness confidence,Critical,RSK0051,packaging delay,High,12,sourcing,Oysho Training Summer 25,BR006,Oysho,Spain,Summer 25,2026-08-31,Retail,False,False
ACT0046,RSK0135,COL019,Add warehouse slot,Reprioritize campaign assets for ecommerce readiness risk before launch gate,Retail Operations,2027-02-12,,In Progress,Contain cost exposure,High,RSK0135,ecommerce readiness,Low,3,sourcing,Pull&Bear Graphic Edit SS25,BR002,Pull&Bear,Portugal,SS25,2027-03-01,Omnichannel,False,False
ACT0047,RSK0021,COL014,Reprioritize campaign assets,Expedite shipment for compliance issue risk before launch gate,Quality Manager,2026-10-02,,In Progress,Protect launch scope,Critical,RSK0021,compliance issue,Low,2,inbound_logistics,Pull&Bear Denim Drop AW25,BR002,Pull&Bear,Italy,AW25,2026-11-09,Omnichannel,False,False
ACT0048,RSK0073,COL029,Confirm contingency plan,Confirm contingency plan for packaging delay risk before launch gate,Marketing Manager,2026-09-17,,In Progress,Contain cost exposure,Medium,RSK0073,packaging delay,Low,4,launch_governance,Pull&Bear Graphic Edit Holiday 25,BR002,Pull&Bear,Poland,Holiday 25,2026-09-25,Omnichannel,False,False
ACT0049,RSK0167,COL019,Escalate quality review,Confirm contingency plan for compliance issue risk before launch gate,PMO,2027-02-15,2027-02-12,Completed,Lower rework risk,High,RSK0167,compliance issue,Low,4,retail_readiness,Pull&Bear Graphic Edit SS25,BR002,Pull&Bear,Portugal,SS25,2027-03-01,Omnichannel,False,False
ACT0050,RSK0018,COL002,Switch supplier,Expedite shipment for logistics delay risk before launch gate,Quality Manager,2026-10-24,,In Progress,Protect launch scope,High,RSK0018,logistics delay,Medium,6,retail_readiness,Oysho Ski AW25,BR006,Oysho,Portugal,AW25,2026-10-30,Omnichannel,False,False
ACT0051,RSK0132,COL001,Switch supplier,Approve partial launch for marketing delay risk before launch gate,Marketing Manager,2026-07-20,,In Progress,Improve readiness confidence,Medium,RSK0132,marketing delay,Medium,6,sourcing,Bershka Partywear Holiday 25,BR004,Bershka,Italy,Holiday 25,2026-07-23,Omnichannel,False,False
ACT0052,RSK0089,COL016,Approve partial launch,Validate compliance documents for customs issue risk before launch gate,Retail Operations,2026-07-23,2026-07-20,Completed,Lower rework risk,Critical,RSK0089,customs issue,Medium,6,marketing,Oysho Training SS25,BR006,Oysho,Portugal,SS25,2026-08-31,E-commerce,False,False
ACT0053,RSK0060,COL006,Escalate quality review,Escalate quality review for logistics delay risk before launch gate,PMO,2026-12-08,2026-12-01,Completed,Improve readiness confidence,High,RSK0060,logistics delay,Medium,5,production,Stradivarius Accessories Summer 25,BR005,Stradivarius,United Kingdom,Summer 25,2027-01-08,Omnichannel,False,False
ACT0054,RSK0014,COL028,Reprioritize campaign assets,Expedite shipment for supplier capacity risk before launch gate,E-commerce Producer,2026-08-14,,In Progress,Improve readiness confidence,Critical,RSK0014,supplier capacity,High,10,launch_governance,Pull&Bear Graphic Edit Holiday 25,BR002,Pull&Bear,Mexico,Holiday 25,2026-10-09,Omnichannel,False,False
ACT0055,RSK0009,COL011,Switch supplier,Validate compliance documents for marketing delay risk before launch gate,Marketing Manager,2026-08-06,2026-08-05,Completed,Protect launch scope,Critical,RSK0009,marketing delay,High,12,sourcing,Stradivarius Summer Stories Holiday 25,BR005,Stradivarius,Italy,Holiday 25,2026-10-29,Retail,False,False
ACT0056,RSK0090,COL001,Switch supplier,Switch supplier for production backlog risk before launch gate,Compliance Lead,2026-08-09,,In Progress,Contain cost exposure,Medium,RSK0090,production backlog,Low,3,retail_readiness,Bershka Partywear Holiday 25,BR004,Bershka,Italy,Holiday 25,2026-07-23,Omnichannel,False,False
ACT0057,RSK0053,COL026,Validate compliance documents,Expedite shipment for supplier capacity risk before launch gate,Quality Manager,2026-06-16,2026-06-13,Completed,Contain cost exposure,Medium,RSK0053,supplier capacity,Medium,6,inbound_logistics,Pull&Bear Campus Summer 25,BR002,Pull&Bear,United Kingdom,Summer 25,2026-08-10,Retail,False,False
ACT0058,RSK0130,COL005,Validate compliance documents,Add warehouse slot for stock allocation risk before launch gate,Logistics Lead,2026-05-28,,In Progress,Lower rework risk,Low,RSK0130,stock allocation,Critical,16,warehouse_allocation,Massimo Dutti Atelier Summer 25,BR003,Massimo Dutti,Mexico,Summer 25,2026-07-25,Omnichannel,False,False
ACT0059,RSK0084,COL020,Update product content,Switch supplier for compliance issue risk before launch gate,E-commerce Producer,2026-07-04,,In Progress,Improve readiness confidence,High,RSK0084,compliance issue,Critical,16,quality_control,Oysho Training Summer 25,BR006,Oysho,Spain,Summer 25,2026-08-31,Retail,False,False
ACT0060,RSK0092,COL009,Escalate quality review,Escalate quality review for stock allocation risk before launch gate,Production Planner,2026-12-10,,Not Started,Reduce launch delay,Critical,RSK0092,stock allocation,Medium,8,quality_control,Massimo Dutti Knitwear AW25,BR003,Massimo Dutti,Italy,AW25,2027-01-27,Retail,False,False
ACT0061,RSK0111,COL018,Confirm contingency plan,Add warehouse slot for supplier capacity risk before launch gate,Quality Manager,2026-11-17,,In Progress,Protect launch scope,Medium,RSK0111,supplier capacity,High,12,retail_readiness,Stradivarius Denim Summer 25,BR005,Stradivarius,Spain,Summer 25,2026-11-18,Omnichannel,False,False
ACT0062,RSK0188,COL024,Reprioritize campaign assets,Approve partial launch for marketing delay risk before launch gate,Quality Manager,2026-07-31,,In Progress,Reduce launch delay,Medium,RSK0188,marketing delay,Low,2,ecommerce,Zara Man Essentials SS25,BR001,Zara,United States,SS25,2026-10-20,Omnichannel,False,False
ACT0063,RSK0172,COL006,Approve partial launch,Escalate quality review for supplier capacity risk before launch gate,Marketing Manager,2026-10-14,,In Progress,Reduce launch delay,High,RSK0172,supplier capacity,Low,3,ecommerce,Stradivarius Accessories Summer 25,BR005,Stradivarius,United Kingdom,Summer 25,2027-01-08,Omnichannel,False,False
ACT0064,RSK0008,COL004,Update product content,Reprioritize campaign assets for logistics delay risk before launch gate,Marketing Manager,2026-08-04,,In Progress,Lower rework risk,Medium,RSK0008,logistics delay,High,12,design,Bershka Denim Core Holiday 25,BR004,Bershka,Spain,Holiday 25,2026-09-26,Retail,False,False
ACT0065,RSK0175,COL002,Validate compliance documents,Reprioritize campaign assets for logistics delay risk before launch gate,Compliance Lead,2026-08-03,,Overdue,Reduce launch delay,Critical,RSK0175,logistics delay,Medium,6,design,Oysho Ski AW25,BR006,Oysho,Portugal,AW25,2026-10-30,Omnichannel,False,False
ACT0066,RSK0035,COL026,Expedite shipment,Escalate quality review for packaging delay risk before launch gate,Merchandising,2026-06-08,2026-06-09,Completed,Protect launch scope,Low,RSK0035,packaging delay,Low,4,warehouse_allocation,Pull&Bear Campus Summer 25,BR002,Pull&Bear,United Kingdom,Summer 25,2026-08-10,Retail,False,False
ACT0067,RSK0081,COL017,Reallocate stock,Reprioritize campaign assets for logistics delay risk before launch gate,Compliance Lead,2027-03-23,,Overdue,Contain cost exposure,High,RSK0081,logistics delay,Low,4,sourcing,Zara Woman Studio Holiday 25,BR001,Zara,Portugal,Holiday 25,2027-03-28,Retail,False,False
ACT0068,RSK0164,COL006,Reallocate stock,Switch supplier for quality failure risk before launch gate,Production Planner,2026-10-08,,Not Started,Protect launch scope,High,RSK0164,quality failure,Critical,16,inbound_logistics,Stradivarius Accessories Summer 25,BR005,Stradivarius,United Kingdom,Summer 25,2027-01-08,Omnichannel,False,False
ACT0069,RSK0050,COL014,Reprioritize campaign assets,Confirm contingency plan for marketing delay risk before launch gate,Sourcing Lead,2026-08-31,2026-09-04,Completed,Improve readiness confidence,High,RSK0050,marketing delay,Medium,9,marketing,Pull&Bear Denim Drop AW25,BR002,Pull&Bear,Italy,AW25,2026-11-09,Omnichannel,False,False
ACT0070,RSK0104,COL030,Reallocate stock,Validate compliance documents for stock allocation risk before launch gate,Merchandising,2026-12-23,2026-12-15,Completed,Contain cost exposure,Medium,RSK0104,stock allocation,Medium,5,design,Zara Home Tableware SS25,BR007,Zara Home,Spain,SS25,2026-12-21,E-commerce,False,False
ACT0071,RSK0132,COL001,Add warehouse slot,Switch supplier for marketing delay risk before launch gate,Marketing Manager,2026-07-13,,In Progress,Reduce launch delay,Medium,RSK0132,marketing delay,Medium,6,sourcing,Bershka Partywear Holiday 25,BR004,Bershka,Italy,Holiday 25,2026-07-23,Omnichannel,False,False
ACT0072,RSK0002,COL026,Switch supplier,Validate compliance documents for data/content issue risk before launch gate,Merchandising,2026-05-27,2026-05-28,Completed,Reduce launch delay,Medium,RSK0002,data/content issue,High,10,production,Pull&Bear Campus Summer 25,BR002,Pull&Bear,United Kingdom,Summer 25,2026-08-10,Retail,False,False
ACT0073,RSK0134,COL023,Switch supplier,Confirm contingency plan for data/content issue risk before launch gate,Logistics Lead,2027-02-26,,Overdue,Protect launch scope,Medium,RSK0134,data/content issue,Medium,6,production,Massimo Dutti Knitwear SS25,BR003,Massimo Dutti,Portugal,SS25,2027-02-16,Omnichannel,False,False
ACT0074,RSK0054,COL004,Switch supplier,Validate compliance documents for quality failure risk before launch gate,Marketing Manager,2026-09-14,,In Progress,Improve readiness confidence,High,RSK0054,quality failure,Low,4,production,Bershka Denim Core Holiday 25,BR004,Bershka,Spain,Holiday 25,2026-09-26,Retail,False,False
ACT0075,RSK0106,COL005,Reallocate stock,Add warehouse slot for production backlog risk before launch gate,Marketing Manager,2026-04-27,2026-04-23,Completed,Protect launch scope,High,RSK0106,production backlog,High,15,ecommerce,Massimo Dutti Atelier Summer 25,BR003,Massimo Dutti,Mexico,Summer 25,2026-07-25,Omnichannel,False,False
ACT0076,RSK0004,COL012,Add warehouse slot,Validate compliance documents for data/content issue risk before launch gate,Marketing Manager,2026-09-18,,In Progress,Improve readiness confidence,Medium,RSK0004,data/content issue,Critical,16,production,Zara Home Kids Home SS25,BR007,Zara Home,Netherlands,SS25,2026-12-06,E-commerce,False,False
ACT0077,RSK0054,COL004,Switch supplier,Reallocate stock for quality failure risk before launch gate,Marketing Manager,2026-09-16,,Overdue,Reduce launch delay,High,RSK0054,quality failure,Low,4,production,Bershka Denim Core Holiday 25,BR004,Bershka,Spain,Holiday 25,2026-09-26,Retail,False,False
ACT0078,RSK0146,COL004,Update product content,Update product content for logistics delay risk before launch gate,E-commerce Producer,2026-07-06,2026-07-06,Completed,Lower rework risk,Critical,RSK0146,logistics delay,Medium,6,design,Bershka Denim Core Holiday 25,BR004,Bershka,Spain,Holiday 25,2026-09-26,Retail,False,False
ACT0079,RSK0044,COL027,Reprioritize campaign assets,Reprioritize campaign assets for logistics delay risk before launch gate,Marketing Manager,2027-02-04,,In Progress,Reduce launch delay,Medium,RSK0044,logistics delay,Medium,6,design,Zara Origins AW25,BR001,Zara,Mexico,AW25,2027-03-26,Omnichannel,False,False
