action_id,linked_risk_id,collection_id,action_type,action_description,owner,due_date,completion_date,status,expected_impact,priority,risk_id,risk_type,severity,risk_score,workstream,collection_name,brand_id,brand_name,market,season,launch_date,launch_channel,is_overdue,due_in_14_days
ACT0080,RSK0162,COL006,Escalate quality review,Expedite shipment for stock allocation risk before launch gate,Retail Operations,2026-12-02,2026-12-05,Completed,Improve readiness confidence,High,RSK0162,stock allocation,Low,3,warehouse_allocation,Stradivarius Accessories Summer 25,BR005,Stradivarius,United Kingdom,Summer 25,2027-01-08,Omnichannel,False,False
ACT0081,RSK0190,COL021,Approve partial launch,Expedite shipment for customs issue risk before launch gate,Quality Manager,2026-10-01,,In Progress,Improve readiness confidence,Low,RSK0190,customs issue,Low,4,ecommerce,Pull&Bear Graphic Edit SS25,BR002,Pull&Bear,United States,SS25,2026-10-26,E-commerce,False,False
ACT0082,RSK0014,COL028,Escalate quality review,Reprioritize campaign assets for supplier capacity risk before launch gate,E-commerce Producer,2026-08-21,,In Progress,Protect launch scope,Medium,RSK0014,supplier capacity,High,10,launch_governance,Pull&Bear Graphic Edit Holiday 25,BR002,Pull&Bear,Mexico,Holiday 25,2026-10-09,Omnichannel,False,False
ACT0083,RSK0095,COL026,Update product content,Confirm contingency plan for production backlog risk before launch gate,Compliance Lead,2026-06-07,,Overdue,Protect launch scope,Medium,RSK0095,production backlog,Low,4,design,Pull&Bear Campus Summer 25,BR002,Pull&Bear,United Kingdom,Summer 25,2026-08-10,Retail,False,False
ACT0084,RSK0048,COL026,Validate compliance documents,Expedite shipment for packaging delay risk before launch gate,Production Planner,2026-06-24,2026-06-19,Completed,Protect launch scope,High,RSK0048,packaging delay,Critical,20,launch_governance,Pull&Bear Campus Summer 25,BR002,Pull&Bear,United Kingdom,Summer 25,2026-08-10,Retail,False,False
ACT0085,RSK0015,COL027,Switch supplier,Validate compliance documents for customs issue risk before launch gate,Production Planner,2027-02-23,2027-02-22,Completed,Reduce launch delay,Medium,RSK0015,customs issue,Medium,9,marketing,Zara Origins AW25,BR001,Zara,Mexico,AW25,2027-03-26,Omnichannel,False,False
ACT0086,RSK0190,COL021,Switch supplier,Confirm contingency plan for customs issue risk before launch gate,Quality Manager,2026-09-11,,Not Started,Reduce launch delay,High,RSK0190,customs issue,Low,4,ecommerce,Pull&Bear Graphic Edit SS25,BR002,Pull&Bear,United States,SS25,2026-10-26,E-commerce,False,False
ACT0087,RSK0040,COL016,Escalate quality review,Update product content for quality failure risk before launch gate,PMO,2026-09-11,,Not Started,Contain cost exposure,Medium,RSK0040,quality failure,Low,4,launch_governance,Oysho Training SS25,BR006,Oysho,Portugal,SS25,2026-08-31,E-commerce,False,False
ACT0088,RSK0082,COL011,Switch supplier,Reallocate stock for production backlog risk before launch gate,PMO,2026-08-23,,In Progress,Improve readiness confidence,High,RSK0082,production backlog,Low,3,retail_readiness,Stradivarius Summer Stories Holiday 25,BR005,Stradivarius,Italy,Holiday 25,2026-10-29,Retail,False,False
ACT0089,RSK0111,COL018,Reprioritize campaign assets,Reprioritize campaign assets for supplier capacity risk before launch gate,Quality Manager,2026-10-26,,Overdue,Reduce launch delay,Critical,RSK0111,supplier capacity,High,12,retail_readiness,Stradivarius Denim Summer 25,BR005,Stradivarius,Spain,Summer 25,2026-11-18,Omnichannel,False,False
ACT0090,RSK0053,COL026,Add warehouse slot,Validate compliance documents for supplier capacity risk before launch gate,Quality Manager,2026-06-03,2026-05-28,Completed,Improve readiness confidence,Critical,RSK0053,supplier capacity,Medium,6,inbound_logistics,Pull&Bear Campus Summer 25,BR002,Pull&Bear,United Kingdom,Summer 25,2026-08-10,Retail,False,False
ACT0091,RSK0024,COL005,Add warehouse slot,Reallocate stock for supplier capacity risk before launch gate,Merchandising,2026-06-29,,In Progress,Lower rework risk,Low,RSK0024,supplier capacity,Low,2,warehouse_allocation,Massimo Dutti Atelier Summer 25,BR003,Massimo Dutti,Mexico,Summer 25,2026-07-25,Omnichannel,False,False
ACT0092,RSK0154,COL022,Validate compliance documents,Switch supplier for customs issue risk before launch gate,E-commerce Producer,2027-01-04,,Not Started,Protect launch scope,Medium,RSK0154,customs issue,High,12,sourcing,Massimo Dutti Limited Edition Holiday 25,BR003,Massimo Dutti,Poland,Holiday 25,2026-12-20,E-commerce,False,False
ACT0093,RSK0188,COL024,Approve partial launch,Validate compliance documents for marketing delay risk before launch gate,Quality Manager,2026-08-04,,In Progress,Improve readiness confidence,Medium,RSK0188,marketing delay,Low,2,ecommerce,Zara Man Essentials SS25,BR001,Zara,United States,SS25,2026-10-20,Omnichannel,False,False
ACT0094,RSK0124,COL025,Switch supplier,Expedite shipment for customs issue risk before launch gate,Logistics Lead,2027-02-18,,Overdue,Contain cost exposure,Medium,RSK0124,customs issue,Medium,8,retail_readiness,Zara Kids Back to School SS25,BR001,Zara,United Kingdom,SS25,2027-02-26,Retail,False,False
ACT0095,RSK0041,COL020,Escalate quality review,Validate compliance documents for packaging delay risk before launch gate,Quality Manager,2026-07-31,,Not Started,Reduce launch delay,Medium,RSK0041,packaging delay,High,15,design,Oysho Training Summer 25,BR006,Oysho,Spain,Summer 25,2026-08-31,Retail,False,False
ACT0096,RSK0157,COL019,Update product content,Escalate quality review for ecommerce readiness risk before launch gate,Logistics Lead,2027-01-30,2027-02-03,Completed,Reduce launch delay,Medium,RSK0157,ecommerce readiness,Critical,16,launch_governance,Pull&Bear Graphic Edit SS25,BR002,Pull&Bear,Portugal,SS25,2027-03-01,Omnichannel,False,False
ACT0097,RSK0015,COL027,Reprioritize campaign assets,Add warehouse slot for customs issue risk before launch gate,Production Planner,2027-03-07,,In Progress,Lower rework risk,Critical,RSK0015,customs issue,Medium,9,marketing,Zara Origins AW25,BR001,Zara,Mexico,AW25,2027-03-26,Omnichannel,False,False
ACT0098,RSK0045,COL025,Approve partial launch,Reprioritize campaign assets for ecommerce readiness risk before launch gate,Sourcing Lead,2026-12-22,,In Progress,Lower rework risk,Critical,RSK0045,ecommerce readiness,Low,4,marketing,Zara Kids Back to School SS25,BR001,Zara,United Kingdom,SS25,2027-02-26,Retail,False,False
ACT0099,RSK0065,COL019,Add warehouse slot,Expedite shipment for customs issue risk before launch gate,Compliance Lead,2027-01-23,2027-01-27,Completed,Reduce launch delay,Critical,RSK0065,customs issue,Critical,16,sourcing,Pull&Bear Graphic Edit SS25,BR002,Pull&Bear,Portugal,SS25,2027-03-01,Omnichannel,False,False
ACT0100,RSK0089,COL016,Update product content,Reprioritize campaign assets for customs issue risk before launch gate,Retail Operations,2026-07-11,,In Progress,Contain cost exposure,Low,RSK0089,customs issue,Medium,6,marketing,Oysho Training SS25,BR006,Oysho,Portugal,SS25,2026-08-31,E-commerce,False,False
ACT0101,RSK0071,COL028,Escalate quality review,Expedite shipment for stock allocation risk before launch gate,Quality Manager,2026-09-13,,In Progress,Protect launch scope,Medium,RSK0071,stock allocation,Medium,6,ecommerce,Pull&Bear Graphic Edit Holiday 25,BR002,Pull&Bear,Mexico,Holiday 25,2026-10-09,Omnichannel,False,False
ACT0102,RSK0009,COL011,Approve partial launch,Expedite shipment for marketing delay risk before launch gate,Marketing Manager,2026-07-30,,Not Started,Reduce launch delay,Medium,RSK0009,marketing delay,High,12,sourcing,Stradivarius Summer Stories Holiday 25,BR005,Stradivarius,Italy,Holiday 25,2026-10-29,Retail,False,False
ACT0103,RSK0088,COL012,Switch supplier,Add warehouse slot for ecommerce readiness risk before launch gate,PMO,2026-10-22,2026-10-26,Completed,Contain cost exposure,High,RSK0088,ecommerce readiness,Critical,16,warehouse_allocation,Zara Home Kids Home SS25,BR007,Zara Home,Netherlands,SS25,2026-12-06,E-commerce,False,False
ACT0104,RSK0129,COL019,Expedite shipment,Approve partial launch for data/content issue risk before launch gate,Sourcing Lead,2026-11-26,,Not Started,Protect launch scope,Medium,RSK0129,data/content issue,Critical,20,retail_readiness,Pull&Bear Graphic Edit SS25,BR002,Pull&Bear,Portugal,SS25,2027-03-01,Omnichannel,False,False
ACT0105,RSK0136,COL009,Reallocate stock,Escalate quality review for production backlog risk before launch gate,E-commerce Producer,2026-12-03,2026-12-04,Completed,Contain cost exposure,Medium,RSK0136,production backlog,High,12,retail_readiness,Massimo Dutti Knitwear AW25,BR003,Massimo Dutti,Italy,AW25,2027-01-27,Retail,False,False
ACT0106,RSK0063,COL029,Expedite shipment,Reallocate stock for production backlog risk before launch gate,Sourcing Lead,2026-07-16,,Not Started,Improve readiness confidence,Critical,RSK0063,production backlog,Medium,5,warehouse_allocation,Pull&Bear Graphic Edit Holiday 25,BR002,Pull&Bear,Poland,Holiday 25,2026-09-25,Omnichannel,False,False
ACT0107,RSK0139,COL029,Confirm contingency plan,Expedite shipment for packaging delay risk before launch gate,E-commerce Producer,2026-08-22,,In Progress,Contain cost exposure,High,RSK0139,packaging delay,Medium,5,sourcing,Pull&Bear Graphic Edit Holiday 25,BR002,Pull&Bear,Poland,Holiday 25,2026-09-25,Omnichannel,False,False
ACT0108,RSK0081,COL017,Reallocate stock,Reprioritize campaign assets for logistics delay risk before launch gate,Compliance Lead,2027-03-16,,In Progress,Reduce launch delay,Low,RSK0081,logistics delay,Low,4,sourcing,Zara Woman Studio Holiday 25,BR001,Zara,Portugal,Holiday 25,2027-03-28,Retail,False,False
ACT0109,RSK0136,COL009,Confirm contingency plan,Add warehouse slot for production backlog risk before launch gate,E-commerce Producer,2026-12-10,,In Progress,Protect launch scope,Medium,RSK0136,production backlog,High,12,retail_readiness,Massimo Dutti Knitwear AW25,BR003,Massimo Dutti,Italy,AW25,2027-01-27,Retail,False,False
ACT0110,RSK0163,COL007,Escalate quality review,Approve partial launch for packaging delay risk before launch gate,Compliance Lead,2026-10-27,,Overdue,Reduce launch delay,Low,RSK0163,packaging delay,Low,2,design,Bershka B Series AW25,BR004,Bershka,United Kingdom,AW25,2026-12-01,E-commerce,False,False
ACT0111,RSK0163,COL007,Validate compliance documents,Validate compliance documents for packaging delay risk before launch gate,Compliance Lead,2026-10-17,,In Progress,Reduce launch delay,Low,RSK0163,packaging delay,Low,2,design,Bershka B Series AW25,BR004,Bershka,United Kingdom,AW25,2026-12-01,E-commerce,False,False
ACT0112,RSK0033,COL011,Approve partial launch,Approve partial launch for production backlog risk before launch gate,Compliance Lead,2026-08-04,,In Progress,Reduce launch delay,Medium,RSK0033,production backlog,High,12,marketing,Stradivarius Summer Stories Holiday 25,BR005,Stradivarius,Italy,Holiday 25,2026-10-29,Retail,False,False
ACT0113,RSK0123,COL030,Confirm contingency plan,Reallocate stock for marketing delay risk before launch gate,Production Planner,2026-10-18,2026-10-19,Completed,Lower rework risk,Medium,RSK0123,marketing delay,High,12,marketing,Zara Home Tableware SS25,BR007,Zara Home,Spain,SS25,2026-12-21,E-commerce,False,False
ACT0114,RSK0005,COL012,Switch supplier,Validate compliance documents for logistics delay risk before launch gate,E-commerce Producer,2026-09-23,,Overdue,Contain cost exposure,Medium,RSK0005,logistics delay,Low,4,production,Zara Home Kids Home SS25,BR007,Zara Home,Netherlands,SS25,2026-12-06,E-commerce,False,False
ACT0115,RSK0041,COL020,Validate compliance documents,Update product content for packaging delay risk before launch gate,Quality Manager,2026-07-27,,In Progress,Protect launch scope,Low,RSK0041,packaging delay,High,15,design,Oysho Training Summer 25,BR006,Oysho,Spain,Summer 25,2026-08-31,Retail,False,False
ACT0116,RSK0028,COL029,Validate compliance documents,Update product content for production backlog risk before launch gate,PMO,2026-07-13,,Overdue,Contain cost exposure,Medium,RSK0028,production backlog,Medium,6,ecommerce,Pull&Bear Graphic Edit Holiday 25,BR002,Pull&Bear,Poland,Holiday 25,2026-09-25,Omnichannel,False,False
ACT0117,RSK0135,COL019,Validate compliance documents,Validate compliance documents for ecommerce readiness risk before launch gate,Retail Operations,2027-02-07,2027-02-02,Completed,Reduce launch delay,High,RSK0135,ecommerce readiness,Low,3,sourcing,Pull&Bear Graphic Edit SS25,BR002,Pull&Bear,Portugal,SS25,2027-03-01,Omnichannel,False,False
ACT0118,RSK0072,COL013,Add warehouse slot,Approve partial launch for marketing delay risk before launch gate,Logistics Lead,2027-01-18,2027-01-18,Completed,Reduce launch delay,Medium,RSK0072,marketing delay,Medium,8,warehouse_allocation,Stradivarius Denim SS25,BR005,Stradivarius,United States,SS25,2027-02-02,Omnichannel,False,False
ACT0119,RSK0012,COL003,Switch supplier,Switch supplier for packaging delay risk before launch gate,PMO,2026-11-17,,Not Started,Lower rework risk,Medium,RSK0012,packaging delay,High,10,production,Oysho Training Summer 25,BR006,Oysho,United States,Summer 25,2027-01-07,Omnichannel,False,False
ACT0120,RSK0162,COL006,Switch supplier,Validate compliance documents for stock allocation risk before launch gate,Retail Operations,2026-11-27,,In Progress,Lower rework risk,Critical,RSK0162,stock allocation,Low,3,warehouse_allocation,Stradivarius Accessories Summer 25,BR005,Stradivarius,United Kingdom,Summer 25,2027-01-08,Omnichannel,False,False
ACT0121,RSK0033,COL011,Escalate quality review,Update product content for production backlog risk before launch gate,Compliance Lead,2026-07-27,,Not Started,Contain cost exposure,Critical,RSK0033,production backlog,High,12,marketing,Stradivarius Summer Stories Holiday 25,BR005,Stradivarius,Italy,Holiday 25,2026-10-29,Retail,False,False
ACT0122,RSK0048,COL026,Validate compliance documents,Reprioritize campaign assets for packaging delay risk before launch gate,Production Planner,2026-07-18,2026-07-19,Completed,Reduce launch delay,Low,RSK0048,packaging delay,Critical,20,launch_governance,Pull&Bear Campus Summer 25,BR002,Pull&Bear,United Kingdom,Summer 25,2026-08-10,Retail,False,False
ACT0123,RSK0151,COL007,Add warehouse slot,Add warehouse slot for quality failure risk before launch gate,Marketing Manager,2026-10-16,,Not Started,Protect launch scope,Medium,RSK0151,quality failure,High,15,quality_control,Bershka B Series AW25,BR004,Bershka,United Kingdom,AW25,2026-12-01,E-commerce,False,False
ACT0124,RSK0062,COL011,Confirm contingency plan,Validate compliance documents for ecommerce readiness risk before launch gate,PMO,2026-08-15,,Overdue,Contain cost exposure,High,RSK0062,ecommerce readiness,Medium,8,inbound_logistics,Stradivarius Summer Stories Holiday 25,BR005,Stradivarius,Italy,Holiday 25,2026-10-29,Retail,False,False
ACT0125,RSK0037,COL027,Switch supplier,Validate compliance documents for compliance issue risk before launch gate,Retail Operations,2027-01-20,,Not Started,Improve readiness confidence,High,RSK0037,compliance issue,Low,3,design,Zara Origins AW25,BR001,Zara,Mexico,AW25,2027-03-26,Omnichannel,False,False
ACT0126,RSK0099,COL022,Escalate quality review,Escalate quality review for compliance issue risk before launch gate,Marketing Manager,2026-10-25,,In Progress,Lower rework risk,Medium,RSK0099,compliance issue,Critical,16,retail_readiness,Massimo Dutti Limited Edition Holiday 25,BR003,Massimo Dutti,Poland,Holiday 25,2026-12-20,E-commerce,False,False
ACT0127,RSK0172,COL006,Escalate quality review,Switch supplier for supplier capacity risk before launch gate,Marketing Manager,2026-10-05,,In Progress,Improve readiness confidence,Critical,RSK0172,supplier capacity,Low,3,ecommerce,Stradivarius Accessories Summer 25,BR005,Stradivarius,United Kingdom,Summer 25,2027-01-08,Omnichannel,False,False
ACT0128,RSK0104,COL030,Reprioritize campaign assets,Reallocate stock for stock allocation risk before launch gate,Merchandising,2026-12-08,2026-12-07,Completed,Contain cost exposure,High,RSK0104,stock allocation,Medium,5,design,Zara Home Tableware SS25,BR007,Zara Home,Spain,SS25,2026-12-21,E-commerce,False,False
ACT0129,RSK0035,COL026,Switch supplier,Update product content for packaging delay risk before launch gate,Merchandising,2026-06-04,,In Progress,Improve readiness confidence,Critical,RSK0035,packaging delay,Low,4,warehouse_allocation,Pull&Bear Campus Summer 25,BR002,Pull&Bear,United Kingdom,Summer 25,2026-08-10,Retail,False,False
ACT0130,RSK0101,COL008,Escalate quality review,Expedite shipment for marketing delay risk before launch gate,Merchandising,2026-06-26,,Overdue,Improve readiness confidence,Medium,RSK0101,marketing delay,Low,4,warehouse_allocation,Massimo Dutti Tailoring Holiday 25,BR003,Massimo Dutti,Italy,Holiday 25,2026-09-14,Omnichannel,False,False
ACT0131,RSK0175,COL002,Update product content,Escalate quality review for logistics delay risk before launch gate,Compliance Lead,2026-07-29,2026-07-24,Completed,Reduce launch delay,High,RSK0175,logistics delay,Medium,6,design,Oysho Ski AW25,BR006,Oysho,Portugal,AW25,2026-10-30,Omnichannel,False,False
ACT0132,RSK0131,COL012,Escalate quality review,Escalate quality review for stock allocation risk before launch gate,Compliance Lead,2026-10-11,,In Progress,Protect launch scope,High,RSK0131,stock allocation,Low,4,marketing,Zara Home Kids Home SS25,BR007,Zara Home,Netherlands,SS25,2026-12-06,E-commerce,False,False
ACT0133,RSK0001,COL029,Add warehouse slot,Escalate quality review for ecommerce readiness risk before launch gate,Merchandising,2026-09-04,,In Progress,Lower rework risk,Critical,RSK0001,ecommerce readiness,Medium,9,design,Pull&Bear Graphic Edit Holiday 25,BR002,Pull&Bear,Poland,Holiday 25,2026-09-25,Omnichannel,False,False
ACT0134,RSK0005,COL012,Update product content,Expedite shipment for logistics delay risk before launch gate,E-commerce Producer,2026-09-26,,Overdue,Lower rework risk,High,RSK0005,logistics delay,Low,4,production,Zara Home Kids Home SS25,BR007,Zara Home,Netherlands,SS25,2026-12-06,E-commerce,False,False
ACT0135,RSK0142,COL025,Escalate quality review,Approve partial launch for packaging delay risk before launch gate,Sourcing Lead,2027-02-26,2027-02-21,Completed,Contain cost exposure,Medium,RSK0142,packaging delay,Critical,20,design,Zara Kids Back to School SS25,BR001,Zara,United Kingdom,SS25,2027-02-26,Retail,False,False
ACT0136,RSK0103,COL017,Switch supplier,Confirm contingency plan for marketing delay risk before launch gate,Sourcing Lead,2027-03-14,,Not Started,Lower rework risk,High,RSK0103,marketing delay,Critical,16,production,Zara Woman Studio Holiday 25,BR001,Zara,Portugal,Holiday 25,2027-03-28,Retail,False,False
ACT0137,RSK0027,COL004,Expedite shipment,Reallocate stock for ecommerce readiness risk before launch gate,Production Planner,2026-08-03,,Not Started,Improve readiness confidence,Medium,RSK0027,ecommerce readiness,Low,3,warehouse_allocation,Bershka Denim Core Holiday 25,BR004,Bershka,Spain,Holiday 25,2026-09-26,Retail,False,False
ACT0138,RSK0137,COL016,Update product content,Reprioritize campaign assets for quality failure risk before launch gate,Production Planner,2026-06-25,,In Progress,Lower rework risk,High,RSK0137,quality failure,Critical,16,design,Oysho Training SS25,BR006,Oysho,Portugal,SS25,2026-08-31,E-commerce,False,False
ACT0139,RSK0015,COL027,Switch supplier,Escalate quality review for customs issue risk before launch gate,Production Planner,2027-02-10,2027-02-09,Completed,Lower rework risk,High,RSK0015,customs issue,Medium,9,marketing,Zara Origins AW25,BR001,Zara,Mexico,AW25,2027-03-26,Omnichannel,False,False
ACT0140,RSK0090,COL001,Validate compliance documents,Reprioritize campaign assets for production backlog risk before launch gate,Compliance Lead,2026-08-03,,Overdue,Contain cost exposure,High,RSK0090,production backlog,Low,3,retail_readiness,Bershka Partywear Holiday 25,BR004,Bershka,Italy,Holiday 25,2026-07-23,Omnichannel,False,False
ACT0141,RSK0042,COL018,Validate compliance documents,Update product content for logistics delay risk before launch gate,E-commerce Producer,2026-11-12,2026-11-11,Completed,Protect launch scope,High,RSK0042,logistics delay,High,12,quality_control,Stradivarius Denim Summer 25,BR005,Stradivarius,Spain,Summer 25,2026-11-18,Omnichannel,False,False
ACT0142,RSK0124,COL025,Update product content,Expedite shipment for customs issue risk before launch gate,Logistics Lead,2027-02-04,2027-02-06,Completed,Contain cost exposure,High,RSK0124,customs issue,Medium,8,retail_readiness,Zara Kids Back to School SS25,BR001,Zara,United Kingdom,SS25,2027-02-26,Retail,False,False
ACT0143,RSK0179,COL003,Escalate quality review,Reallocate stock for packaging delay risk before launch gate,Sourcing Lead,2026-12-26,,Not Started,Reduce launch delay,Medium,RSK0179,packaging delay,High,12,marketing,Oysho Training Summer 25,BR006,Oysho,United States,Summer 25,2027-01-07,Omnichannel,False,False
ACT0144,RSK0063,COL029,Add warehouse slot,Approve partial launch for production backlog risk before launch gate,Sourcing Lead,2026-07-13,,Not Started,Reduce launch delay,Medium,RSK0063,production backlog,Medium,5,warehouse_allocation,Pull&Bear Graphic Edit Holiday 25,BR002,Pull&Bear,Poland,Holiday 25,2026-09-25,Omnichannel,False,False
ACT0145,RSK0096,COL020,Validate compliance documents,Escalate quality review for quality failure risk before launch gate,Quality Manager,2026-08-18,2026-08-20,Completed,Contain cost exposure,Low,RSK0096,quality failure,Medium,8,quality_control,Oysho Training Summer 25,BR006,Oysho,Spain,Summer 25,2026-08-31,Retail,False,False
ACT0146,RSK0052,COL019,Approve partial launch,Escalate quality review for logistics delay risk before launch gate,Production Planner,2027-02-05,,Not Started,Improve readiness confidence,Medium,RSK0052,logistics delay,Low,3,launch_governance,Pull&Bear Graphic Edit SS25,BR002,Pull&Bear,Portugal,SS25,2027-03-01,Omnichannel,False,False
ACT0147,RSK0096,COL020,Reprioritize campaign assets,Update product content for quality failure risk before launch gate,Quality Manager,2026-08-05,,Overdue,Protect launch scope,Medium,RSK0096,quality failure,Medium,8,quality_control,Oysho Training Summer 25,BR006,Oysho,Spain,Summer 25,2026-08-31,Retail,False,False
ACT0148,RSK0132,COL001,Add warehouse slot,Confirm contingency plan for marketing delay risk before launch gate,Marketing Manager,2026-07-27,,In Progress,Improve readiness confidence,High,RSK0132,marketing delay,Medium,6,sourcing,Bershka Partywear Holiday 25,BR004,Bershka,Italy,Holiday 25,2026-07-23,Omnichannel,False,False
ACT0149,RSK0151,COL007,Add warehouse slot,Update product content for quality failure risk before launch gate,Marketing Manager,2026-10-14,,Overdue,Contain cost exposure,High,RSK0151,quality failure,High,15,quality_control,Bershka B Series AW25,BR004,Bershka,United Kingdom,AW25,2026-12-01,E-commerce,False,False
ACT0150,RSK0143,COL009,Approve partial launch,Switch supplier for stock allocation risk before launch gate,PMO,2027-01-01,,Not Started,Improve readiness confidence,Critical,RSK0143,stock allocation,Low,3,warehouse_allocation,Massimo Dutti Knitwear AW25,BR003,Massimo Dutti,Italy,AW25,2027-01-27,Retail,False,False
ACT0151,RSK0171,COL024,Approve partial launch,Reprioritize campaign assets for packaging delay risk before launch gate,Retail Operations,2026-09-20,2026-09-20,Completed,Protect launch scope,High,RSK0171,packaging delay,Medium,5,retail_readiness,Zara Man Essentials SS25,BR001,Zara,United States,SS25,2026-10-20,Omnichannel,False,False
ACT0152,RSK0029,COL002,Confirm contingency plan,Update product content for compliance issue risk before launch gate,Quality Manager,2026-09-07,,In Progress,Protect launch scope,Critical,RSK0029,compliance issue,High,12,design,Oysho Ski AW25,BR006,Oysho,Portugal,AW25,2026-10-30,Omnichannel,False,False
ACT0153,RSK0036,COL013,Reallocate stock,Expedite shipment for stock allocation risk before launch gate,Compliance Lead,2027-01-07,,Overdue,Protect launch scope,Medium,RSK0036,stock allocation,High,10,ecommerce,Stradivarius Denim SS25,BR005,Stradivarius,United States,SS25,2027-02-02,Omnichannel,False,False
ACT0154,RSK0013,COL024,Add warehouse slot,Confirm contingency plan for compliance issue risk before launch gate,Logistics Lead,2026-09-08,,In Progress,Contain cost exposure,Low,RSK0013,compliance issue,Low,2,design,Zara Man Essentials SS25,BR001,Zara,United States,SS25,2026-10-20,Omnichannel,False,False
ACT0155,RSK0160,COL002,Reprioritize campaign assets,Add warehouse slot for ecommerce readiness risk before launch gate,Retail Operations,2026-10-19,,Overdue,Contain cost exposure,High,RSK0160,ecommerce readiness,Critical,20,production,Oysho Ski AW25,BR006,Oysho,Portugal,AW25,2026-10-30,Omnichannel,False,False
ACT0156,RSK0071,COL028,Confirm contingency plan,Approve partial launch for stock allocation risk before launch gate,Quality Manager,2026-09-07,,Not Started,Protect launch scope,Low,RSK0071,stock allocation,Medium,6,ecommerce,Pull&Bear Graphic Edit Holiday 25,BR002,Pull&Bear,Mexico,Holiday 25,2026-10-09,Omnichannel,False,False
ACT0157,RSK0187,COL014,Confirm contingency plan,Reprioritize campaign assets for stock allocation risk before launch gate,PMO,2026-08-26,,Overdue,Reduce launch delay,Low,RSK0187,stock allocation,Low,3,launch_governance,Pull&Bear Denim Drop AW25,BR002,Pull&Bear,Italy,AW25,2026-11-09,Omnichannel,False,False
ACT0158,RSK0086,COL030,Escalate quality review,Reprioritize campaign assets for stock allocation risk before launch gate,Compliance Lead,2026-11-15,,In Progress,Contain cost exposure,Medium,RSK0086,stock allocation,Critical,16,design,Zara Home Tableware SS25,BR007,Zara Home,Spain,SS25,2026-12-21,E-commerce,False,False
ACT0159,RSK0028,COL029,Validate compliance documents,Confirm contingency plan for production backlog risk before launch gate,PMO,2026-07-22,,In Progress,Protect launch scope,Medium,RSK0028,production backlog,Medium,6,ecommerce,Pull&Bear Graphic Edit Holiday 25,BR002,Pull&Bear,Poland,Holiday 25,2026-09-25,Omnichannel,False,False
