supplier_id,supplier_name,country,supplier_city,supplier_lat,supplier_lon,region,supplier_specialty,lead_time_planned_days,reliability_score_base,capacity_band,sustainability_rating,historical_delay_risk,escalation_level,data_source,avg_delay,lead_time_variance,incidents,open_incidents,main_incident_type,open_linked_risks,open_critical_risks,supplier_risk_score,supplier_risk_band,suggested_pm_action,linked_collections,main_sku_family
SUP001,Inditex Portugal Cluster Partner 01,Portugal,Braga,41.592,-8.2879,Western Europe,formal tailoring,47,78,Medium,C,0.51,PMO watch,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,5.0,-4.3,4,2,E-commerce product images missing,48,8,56.9,High Variance,Review weekly recovery plan with sourcing and logistics,"Bershka Partywear Holiday 25, Massimo Dutti Atelier Summer 25, Massimo Dutti Limited Edition Holiday 25, Oysho Training Summer 25",activewear
SUP002,Inditex Portugal Cluster Partner 02,Portugal,Braga,41.4896,-8.3473,Western Europe,woven apparel,40,79,High,C,0.43,Business as usual,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,3.8461538461538463,-0.3076923076923077,5,2,Supplier capacity issue,49,2,42.9,Monitor,Track next shipment gate and validate documentation,"Massimo Dutti Knitwear SS25, Oysho Training SS25, Oysho Training Summer 25, Pull&Bear Denim Drop AW25",activewear
SUP003,Inditex Italy Cluster Partner 03,Italy,Milan,45.5227,9.0642,Western Europe,kidswear,71,89,Strategic,C,0.33,PMO watch,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,3.8333333333333335,0.6666666666666666,3,1,Factory production backlog,60,8,46.8,Monitor,Track next shipment gate and validate documentation,"Bershka Partywear Holiday 25, Massimo Dutti Atelier Summer 25, Massimo Dutti Knitwear AW25, Oysho Training SS25",knitwear
SUP004,Inditex Portugal Cluster Partner 04,Portugal,Porto,41.1605,-8.7264,Western Europe,formal tailoring,31,75,High,A,0.44,PMO watch,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,7.7272727272727275,3.6363636363636362,7,4,E-commerce product images missing,59,7,76.3,Critical Watchlist,Escalate contingency plan and confirm alternative capacity,"Bershka Denim Core Holiday 25, Massimo Dutti Atelier Summer 25, Massimo Dutti Knitwear SS25, Massimo Dutti Tailoring Holiday 25",denim
SUP005,Inditex Spain Cluster Partner 05,Spain,Barcelona,41.3932,2.2017,Western Europe,kidswear,59,59,High,D,0.8,Business as usual,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,3.7142857142857144,-7.571428571428571,4,3,Fabric approval delayed,42,2,50.6,High Variance,Review weekly recovery plan with sourcing and logistics,"Bershka B Series AW25, Massimo Dutti Knitwear AW25, Pull&Bear Denim Drop AW25, Pull&Bear Graphic Edit Holiday 25",accessories
SUP006,Inditex Bangladesh Cluster Partner 06,Bangladesh,Dhaka,23.8398,90.4802,South Asia,activewear,74,66,High,B,0.73,Sourcing review,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,7.357142857142857,1.1428571428571428,9,4,Labeling compliance issue,68,13,84.2,Critical Watchlist,Escalate contingency plan and confirm alternative capacity,"Bershka B Series AW25, Massimo Dutti Atelier Summer 25, Massimo Dutti Knitwear SS25, Massimo Dutti Limited Edition Holiday 25",kids basics
SUP007,Inditex India Cluster Partner 07,India,Tiruppur,11.0967,77.3289,South Asia,formal tailoring,85,84,Strategic,B,0.29,PMO watch,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,6.7,-5.9,4,3,Retail staff training incomplete,40,5,56.0,High Variance,Review weekly recovery plan with sourcing and logistics,"Bershka Partywear Holiday 25, Massimo Dutti Atelier Summer 25, Massimo Dutti Knitwear AW25, Oysho Training SS25",outerwear
SUP008,Inditex Portugal Cluster Partner 08,Portugal,Porto,41.1741,-8.5615,Western Europe,formal tailoring,36,74,Strategic,C,0.47,Executive escalation,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,4.5,-0.6666666666666666,3,3,Retail staff training incomplete,41,6,55.2,High Variance,Review weekly recovery plan with sourcing and logistics,"Bershka Denim Core Holiday 25, Stradivarius Denim Summer 25, Zara Home Tableware SS25, Zara Kids Back to School SS25",denim
SUP009,Inditex Morocco Cluster Partner 09,Morocco,Tangier,35.5992,-5.7057,Nearshore EMEA,denim,29,98,Low,B,0.07,Sourcing review,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,1.9,-1.7,1,1,Port congestion,44,4,27.0,Low Risk,Keep standard launch governance cadence,"Bershka Denim Core Holiday 25, Massimo Dutti Knitwear AW25, Massimo Dutti Limited Edition Holiday 25, Pull&Bear Graphic Edit SS25",kids basics
SUP010,Inditex China Cluster Partner 10,China,Guangzhou,23.0656,113.2996,East Asia,footwear,83,69,High,A,0.52,Executive escalation,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,7.769230769230769,2.4615384615384617,9,4,Fabric approval delayed,68,8,84.7,Critical Watchlist,Escalate contingency plan and confirm alternative capacity,"Massimo Dutti Knitwear AW25, Massimo Dutti Limited Edition Holiday 25, Oysho Ski AW25, Oysho Training Summer 25",denim
SUP011,Inditex Spain Cluster Partner 11,Spain,Valencia,39.5261,-0.3652,Western Europe,kidswear,33,77,Strategic,A,0.48,Business as usual,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,3.625,-2.0,3,0,Size curve mismatch,47,6,52.3,High Variance,Review weekly recovery plan with sourcing and logistics,"Bershka B Series AW25, Oysho Ski AW25, Oysho Training Summer 25, Pull&Bear Graphic Edit SS25",tailoring
SUP012,Inditex Bangladesh Cluster Partner 12,Bangladesh,Dhaka,23.7788,90.4542,South Asia,denim,82,83,Low,A,0.39,PMO watch,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,4.235294117647059,-4.705882352941177,5,3,Sustainability certificate missing,56,4,51.3,High Variance,Review weekly recovery plan with sourcing and logistics,"Bershka B Series AW25, Pull&Bear Denim Drop SS25, Pull&Bear Graphic Edit Holiday 25, Stradivarius Summer Stories Holiday 25",formalwear
SUP013,Inditex Spain Cluster Partner 13,Spain,Valencia,39.4156,-0.3163,Western Europe,formal tailoring,86,67,High,C,0.52,Sourcing review,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,9.222222222222221,-3.7777777777777777,4,2,E-commerce product images missing,52,6,68.9,High Variance,Review weekly recovery plan with sourcing and logistics,"Bershka B Series AW25, Bershka Denim Core Holiday 25, Massimo Dutti Atelier Summer 25, Massimo Dutti Knitwear SS25",accessories
SUP014,Inditex Italy Cluster Partner 14,Italy,Milan,45.4716,9.123,Western Europe,leather goods,37,81,High,A,0.45,Business as usual,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,4.714285714285714,-10.0,3,1,Barcode mismatch,39,5,51.6,High Variance,Review weekly recovery plan with sourcing and logistics,"Massimo Dutti Atelier Summer 25, Massimo Dutti Knitwear AW25, Massimo Dutti Limited Edition Holiday 25, Stradivarius Summer Stories Holiday 25",footwear
SUP015,Inditex Spain Cluster Partner 15,Spain,Valencia,39.5013,-0.4595,Western Europe,woven apparel,30,98,Strategic,C,0.05,Business as usual,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,2.2222222222222223,-0.7777777777777778,1,0,Pricing not approved,44,5,32.4,Monitor,Track next shipment gate and validate documentation,"Bershka Denim Core Holiday 25, Massimo Dutti Knitwear SS25, Oysho Training Summer 25, Pull&Bear Campus Summer 25",denim
SUP016,Inditex Morocco Cluster Partner 16,Morocco,Tangier,35.7072,-5.7998,Nearshore EMEA,knitwear,66,76,High,A,0.42,Executive escalation,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,5.5,-4.666666666666667,5,0,Barcode mismatch,51,5,61.9,High Variance,Review weekly recovery plan with sourcing and logistics,"Massimo Dutti Tailoring Holiday 25, Pull&Bear Denim Drop AW25, Pull&Bear Graphic Edit Holiday 25, Stradivarius Denim SS25",activewear
SUP017,Inditex Bangladesh Cluster Partner 17,Bangladesh,Dhaka,23.7838,90.5017,South Asia,outerwear,37,67,Medium,B,0.69,PMO watch,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,6.0,-2.5555555555555554,6,3,Sustainability certificate missing,46,4,65.8,High Variance,Review weekly recovery plan with sourcing and logistics,"Bershka Partywear Holiday 25, Oysho Training SS25, Oysho Training Summer 25, Pull&Bear Campus Summer 25",kids basics
SUP018,Inditex Portugal Cluster Partner 18,Portugal,Porto,41.244,-8.6968,Western Europe,denim,75,82,High,B,0.38,PMO watch,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,7.2,2.1,3,1,Late sample approval,48,3,47.1,Monitor,Track next shipment gate and validate documentation,"Bershka Denim Core Holiday 25, Massimo Dutti Knitwear SS25, Pull&Bear Graphic Edit Holiday 25, Pull&Bear Graphic Edit SS25",accessories
SUP019,Inditex Vietnam Cluster Partner 19,Vietnam,Ho Chi Minh City,10.7337,106.593,Southeast Asia,outerwear,53,66,Medium,A,0.55,PMO watch,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,12.181818181818182,5.090909090909091,4,3,Size curve mismatch,53,9,79.7,Critical Watchlist,Escalate contingency plan and confirm alternative capacity,"Bershka Partywear Holiday 25, Massimo Dutti Atelier Summer 25, Oysho Ski AW25, Oysho Training Summer 25",knitwear
SUP020,Inditex Morocco Cluster Partner 20,Morocco,Casablanca,33.5879,-7.5403,Nearshore EMEA,knitwear,75,77,Medium,B,0.44,PMO watch,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,4.933333333333334,-3.8666666666666667,8,4,Factory production backlog,68,7,70.2,Critical Watchlist,Escalate contingency plan and confirm alternative capacity,"Bershka Denim Core Holiday 25, Massimo Dutti Atelier Summer 25, Oysho Training SS25, Oysho Training Summer 25",accessories
SUP021,Inditex Bangladesh Cluster Partner 21,Bangladesh,Dhaka,23.8176,90.459,South Asia,outerwear,79,84,Medium,C,0.4,Business as usual,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,2.7777777777777777,-8.88888888888889,2,1,Marketing campaign assets delayed,40,4,39.1,Monitor,Track next shipment gate and validate documentation,"Massimo Dutti Limited Edition Holiday 25, Pull&Bear Denim Drop AW25, Stradivarius Denim Summer 25, Stradivarius Summer Stories Holiday 25",formalwear
SUP022,Inditex Bangladesh Cluster Partner 22,Bangladesh,Dhaka,23.8971,90.4418,South Asia,woven apparel,44,73,Medium,A,0.56,Business as usual,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,5.2727272727272725,-10.454545454545455,3,1,Customs hold,48,5,56.8,High Variance,Review weekly recovery plan with sourcing and logistics,"Bershka B Series AW25, Bershka Denim Core Holiday 25, Massimo Dutti Knitwear SS25, Massimo Dutti Limited Edition Holiday 25",knitwear
SUP023,Inditex Spain Cluster Partner 23,Spain,Valencia,39.3503,-0.2672,Western Europe,home textiles,37,78,High,A,0.34,Business as usual,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,6.636363636363637,1.6363636363636365,3,1,Customs hold,49,3,48.0,Monitor,Track next shipment gate and validate documentation,"Bershka Partywear Holiday 25, Pull&Bear Denim Drop SS25, Pull&Bear Graphic Edit Holiday 25, Pull&Bear Graphic Edit SS25",denim
SUP024,Inditex Bangladesh Cluster Partner 24,Bangladesh,Dhaka,23.7655,90.4497,South Asia,activewear,36,98,Medium,B,0.1,Business as usual,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,3.8461538461538463,0.5384615384615384,4,1,Size curve mismatch,61,9,44.9,Monitor,Track next shipment gate and validate documentation,"Bershka B Series AW25, Bershka Partywear Holiday 25, Massimo Dutti Knitwear AW25, Massimo Dutti Limited Edition Holiday 25",accessories
SUP025,Inditex China Cluster Partner 25,China,Guangzhou,23.1826,113.2093,East Asia,leather goods,78,89,Strategic,B,0.26,Sourcing review,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,4.7272727272727275,-0.9090909090909091,4,2,Fabric approval delayed,54,8,50.5,High Variance,Review weekly recovery plan with sourcing and logistics,"Bershka B Series AW25, Bershka Denim Core Holiday 25, Massimo Dutti Atelier Summer 25, Massimo Dutti Limited Edition Holiday 25",bags
SUP026,Inditex India Cluster Partner 26,India,Tiruppur,11.0731,77.4575,South Asia,activewear,78,80,Medium,B,0.47,Business as usual,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,6.625,-10.625,7,6,Customs hold,49,8,67.7,High Variance,Review weekly recovery plan with sourcing and logistics,"Bershka B Series AW25, Bershka Denim Core Holiday 25, Massimo Dutti Knitwear SS25, Massimo Dutti Limited Edition Holiday 25",footwear
SUP027,Inditex China Cluster Partner 27,China,Guangzhou,23.1653,113.1391,East Asia,knitwear,45,72,Medium,B,0.53,PMO watch,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,4.285714285714286,1.9285714285714286,7,2,Fabric approval delayed,92,14,71.1,Critical Watchlist,Escalate contingency plan and confirm alternative capacity,"Bershka B Series AW25, Bershka Denim Core Holiday 25, Massimo Dutti Limited Edition Holiday 25, Massimo Dutti Tailoring Holiday 25",bags
SUP028,Inditex Spain Cluster Partner 28,Spain,Barcelona,41.4072,2.1543,Western Europe,leather goods,68,65,High,A,0.64,Business as usual,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,6.466666666666667,1.6666666666666667,8,2,Barcode mismatch,74,16,80.9,Critical Watchlist,Escalate contingency plan and confirm alternative capacity,"Bershka Denim Core Holiday 25, Massimo Dutti Atelier Summer 25, Massimo Dutti Knitwear SS25, Massimo Dutti Limited Edition Holiday 25",knitwear
SUP029,Inditex China Cluster Partner 29,China,Guangzhou,23.1736,113.2881,East Asia,footwear,69,88,Medium,C,0.28,PMO watch,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,6.176470588235294,1.2941176470588236,8,2,Customs hold,53,6,67.4,High Variance,Review weekly recovery plan with sourcing and logistics,"Bershka B Series AW25, Massimo Dutti Knitwear SS25, Massimo Dutti Limited Edition Holiday 25, Pull&Bear Denim Drop AW25",activewear
SUP030,Inditex India Cluster Partner 30,India,Tiruppur,11.0374,77.3354,South Asia,activewear,83,71,High,A,0.51,Business as usual,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,5.833333333333333,-14.666666666666666,1,0,Customs hold,32,3,42.3,Monitor,Track next shipment gate and validate documentation,"Bershka B Series AW25, Bershka Denim Core Holiday 25, Oysho Ski AW25, Oysho Training Summer 25",formalwear
SUP031,Inditex Turkey Cluster Partner 31,Turkey,Istanbul,41.0521,28.9934,Nearshore EMEA,denim,63,80,Low,B,0.37,Sourcing review,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,6.076923076923077,0.6153846153846154,4,1,Size curve mismatch,64,6,58.0,High Variance,Review weekly recovery plan with sourcing and logistics,"Bershka Denim Core Holiday 25, Massimo Dutti Atelier Summer 25, Massimo Dutti Limited Edition Holiday 25, Oysho Ski AW25",bags
SUP032,Inditex Bangladesh Cluster Partner 32,Bangladesh,Dhaka,23.9101,90.3923,South Asia,kidswear,67,67,High,D,0.71,Sourcing review,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,8.117647058823529,-1.0588235294117647,6,2,E-commerce product images missing,48,3,63.7,High Variance,Review weekly recovery plan with sourcing and logistics,"Massimo Dutti Knitwear AW25, Oysho Training SS25, Oysho Training Summer 25, Pull&Bear Graphic Edit Holiday 25",footwear
SUP033,Inditex Italy Cluster Partner 33,Italy,Milan,45.624,9.0959,Western Europe,home textiles,61,71,High,D,0.6,Executive escalation,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,6.894736842105263,-5.894736842105263,14,6,Stock allocation dispute,85,8,89.0,Critical Watchlist,Escalate contingency plan and confirm alternative capacity,"Bershka Partywear Holiday 25, Massimo Dutti Knitwear AW25, Massimo Dutti Knitwear SS25, Massimo Dutti Limited Edition Holiday 25",bags
SUP034,Inditex Portugal Cluster Partner 34,Portugal,Porto,41.0554,-8.663,Western Europe,activewear,57,98,Strategic,B,0.05,Executive escalation,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,6.230769230769231,1.3076923076923077,3,2,Barcode mismatch,60,7,46.0,Monitor,Track next shipment gate and validate documentation,"Bershka Denim Core Holiday 25, Massimo Dutti Knitwear AW25, Oysho Training Summer 25, Pull&Bear Campus Summer 25",home textiles
