incident_id,supplier_id,collection_id,related_po_id,issue_type,root_cause,date_opened,date_closed,delay_days,business_impact,status
INC0001,SUP005,COL029,PO0147,Rework required,Transport disruption,2026-08-03,,16,E-commerce launch delayed,Open
INC0002,SUP023,COL011,PO0370,Factory production backlog,Documentation gap,2026-08-08,,26,E-commerce launch delayed,In Review
INC0003,SUP029,COL007,PO0290,Supplier documentation incomplete,System data mismatch,2026-09-17,2026-09-29,12,Campaign timing affected,Resolved
INC0004,SUP033,COL009,PO0234,Size curve mismatch,Inspection failure,2026-11-29,,1,Campaign timing affected,Open
INC0005,SUP027,COL010,PO0058,Stock allocation dispute,Capacity planning,2026-05-12,2026-06-04,23,Partial shipment required,Resolved
INC0006,SUP027,COL010,PO0058,Fabric approval delayed,Transport disruption,2026-05-04,,11,Launch scope reduced,Open
INC0007,SUP030,COL004,PO0025,Customs hold,Inspection failure,2026-08-29,2026-09-20,12,Partial shipment required,Resolved
INC0008,SUP013,COL005,PO0341,Transport strike,Inspection failure,2026-07-02,,1,Extra freight cost,In Review
INC0009,SUP003,COL016,PO0235,Factory production backlog,Material shortage,2026-07-27,2026-08-16,7,E-commerce launch delayed,Resolved
INC0010,SUP029,COL022,PO0281,Customs hold,Late approval,2026-11-25,,9,Launch scope reduced,Open
INC0011,SUP029,COL022,PO0009,Rework required,Capacity planning,2026-11-25,2026-12-12,8,Partial shipment required,Closed
INC0012,SUP017,COL027,PO0378,Sustainability certificate missing,Transport disruption,2027-02-01,,1,Launch scope reduced,Open
INC0013,SUP019,COL001,PO0328,Supplier capacity issue,Capacity planning,2026-04-22,,24,Extra freight cost,Open
INC0014,SUP007,COL017,PO0079,Retail staff training incomplete,Inspection failure,2027-03-27,2027-04-03,22,Launch scope reduced,Resolved
INC0015,SUP020,COL029,PO0069,Retail staff training incomplete,Transport disruption,2026-07-29,,7,Launch scope reduced,In Review
INC0016,SUP020,COL029,PO0069,Rework required,Material shortage,2026-08-17,2026-09-06,11,Partial shipment required,Resolved
INC0017,SUP016,COL018,PO0117,Late sample approval,System data mismatch,2026-09-01,2026-09-22,14,Manual rework required,Resolved
INC0018,SUP023,COL012,PO0204,Transport strike,System data mismatch,2026-10-06,2026-10-29,3,Manual rework required,Closed
INC0019,SUP002,COL023,PO0167,Rework required,Material shortage,2026-12-23,2027-01-12,2,E-commerce launch delayed,Closed
INC0020,SUP010,COL006,PO0111,Labeling compliance issue,Capacity planning,2026-11-14,2026-11-27,9,Launch scope reduced,Resolved
INC0021,SUP025,COL026,PO0241,Fabric approval delayed,Late approval,2026-06-07,,15,Manual rework required,In Review
INC0022,SUP032,COL013,PO0053,Quality inspection failed,Capacity planning,2026-10-31,2026-11-21,1,Store allocation changed,Closed
INC0023,SUP010,COL006,PO0111,Barcode mismatch,Transport disruption,2026-10-18,2026-10-31,10,Store allocation changed,Resolved
INC0024,SUP006,COL022,PO0144,Retail staff training incomplete,Material shortage,2026-11-23,,1,Partial shipment required,In Review
INC0025,SUP006,COL026,PO0176,Labeling compliance issue,System data mismatch,2026-06-14,,1,Campaign timing affected,Open
INC0026,SUP007,COL001,PO0311,Packaging approval delayed,Transport disruption,2026-07-19,,10,Launch scope reduced,In Review
INC0027,SUP033,COL019,PO0075,Retail staff training incomplete,Material shortage,2027-02-08,2027-02-28,20,Extra freight cost,Resolved
INC0028,SUP019,COL012,PO0200,Packaging approval delayed,Late approval,2026-09-16,,1,Store allocation changed,Open
INC0029,SUP032,COL011,PO0232,Port congestion,Transport disruption,2026-09-20,2026-10-11,16,Extra freight cost,Closed
INC0030,SUP018,COL024,PO0021,Marketing campaign assets delayed,Transport disruption,2026-09-19,2026-09-30,10,E-commerce launch delayed,Closed
INC0031,SUP033,COL012,PO0239,Factory production backlog,System data mismatch,2026-10-27,2026-11-13,1,Extra freight cost,Closed
INC0032,SUP028,COL012,PO0065,Port congestion,Inspection failure,2026-10-04,2026-10-14,18,Manual rework required,Resolved
INC0033,SUP028,COL008,PO0027,Product descriptions not localized,Capacity planning,2026-07-05,,20,Store allocation changed,In Review
INC0034,SUP016,COL017,PO0368,Barcode mismatch,Inspection failure,2027-01-27,2027-02-09,12,Store allocation changed,Closed
INC0035,SUP020,COL016,PO0376,Marketing campaign assets delayed,Transport disruption,2026-07-23,2026-07-28,20,Manual rework required,Resolved
INC0036,SUP013,COL012,PO0321,Labeling compliance issue,Documentation gap,2026-11-02,2026-11-06,19,Store allocation changed,Resolved
INC0037,SUP016,COL018,PO0117,Transport strike,System data mismatch,2026-08-28,2026-09-05,13,E-commerce launch delayed,Closed
INC0038,SUP010,COL009,PO0038,Packaging approval delayed,System data mismatch,2026-12-16,2027-01-02,21,Store allocation changed,Resolved
INC0039,SUP014,COL010,PO0273,Quality inspection failed,Capacity planning,2026-04-14,,3,Manual rework required,In Review
INC0040,SUP026,COL014,PO0170,Pricing not approved,Late approval,2026-09-16,,4,Manual rework required,Open
INC0041,SUP033,COL016,PO0048,Retail staff training incomplete,Transport disruption,2026-06-04,2026-06-08,19,Campaign timing affected,Resolved
INC0042,SUP014,COL005,PO0192,Barcode mismatch,Documentation gap,2026-04-05,2026-04-11,1,Extra freight cost,Closed
INC0043,SUP027,COL029,PO0014,Rework required,Capacity planning,2026-07-12,2026-07-18,5,Campaign timing affected,Resolved
INC0044,SUP004,COL019,PO0355,Factory production backlog,Documentation gap,2026-11-18,2026-12-11,9,Extra freight cost,Resolved
INC0045,SUP013,COL004,PO0096,E-commerce product images missing,Material shortage,2026-07-20,,14,E-commerce launch delayed,In Review
INC0046,SUP033,COL013,PO0264,Port congestion,Documentation gap,2026-12-03,,4,Launch scope reduced,In Review
INC0047,SUP005,COL013,PO0120,Size curve mismatch,Transport disruption,2026-12-28,,6,Store allocation changed,In Review
INC0048,SUP002,COL017,PO0202,Late sample approval,Capacity planning,2027-01-01,,8,Partial shipment required,Open
INC0049,SUP010,COL029,PO0215,Quality inspection failed,Material shortage,2026-09-03,2026-09-25,21,Extra freight cost,Resolved
INC0050,SUP033,COL021,PO0070,Product descriptions not localized,Late approval,2026-09-11,2026-09-23,1,Store allocation changed,Closed
INC0051,SUP007,COL009,PO0377,Barcode mismatch,System data mismatch,2027-01-02,,5,Partial shipment required,In Review
INC0052,SUP003,COL001,PO0307,Labeling compliance issue,System data mismatch,2026-05-18,2026-06-03,11,Campaign timing affected,Closed
INC0053,SUP029,COL014,PO0365,Product descriptions not localized,Transport disruption,2026-10-14,2026-10-21,9,Launch scope reduced,Resolved
INC0054,SUP002,COL028,PO0350,Supplier capacity issue,Documentation gap,2026-08-17,,20,Manual rework required,In Review
INC0055,SUP033,COL009,PO0234,Retail staff training incomplete,System data mismatch,2026-12-07,2026-12-30,3,E-commerce launch delayed,Resolved
INC0056,SUP006,COL005,PO0359,Late sample approval,Documentation gap,2026-06-16,2026-07-04,15,Partial shipment required,Resolved
INC0057,SUP026,COL007,PO0036,Fabric approval delayed,Transport disruption,2026-10-15,,7,Extra freight cost,In Review
INC0058,SUP031,COL028,PO0074,Warehouse slot unavailable,Capacity planning,2026-08-23,2026-09-11,23,Store allocation changed,Closed
INC0059,SUP017,COL026,PO0020,Supplier documentation incomplete,Capacity planning,2026-05-12,,5,Launch scope reduced,Open
INC0060,SUP008,COL017,PO0125,Sustainability certificate missing,Inspection failure,2027-02-03,,5,Extra freight cost,In Review
INC0061,SUP032,COL024,PO0151,Sustainability certificate missing,System data mismatch,2026-09-21,2026-10-09,10,Launch scope reduced,Closed
INC0062,SUP034,COL027,PO0101,Fabric approval delayed,Late approval,2027-01-26,,14,E-commerce launch delayed,In Review
INC0063,SUP033,COL021,PO0327,Stock allocation dispute,Late approval,2026-08-25,,26,Extra freight cost,In Review
INC0064,SUP029,COL024,PO0141,Fabric approval delayed,Late approval,2026-08-20,2026-08-24,22,E-commerce launch delayed,Closed
INC0065,SUP033,COL014,PO0106,Stock allocation dispute,Material shortage,2026-09-09,2026-09-21,1,Launch scope reduced,Resolved
INC0066,SUP017,COL029,PO0214,Sustainability certificate missing,Documentation gap,2026-07-03,2026-07-25,18,Launch scope reduced,Closed
INC0067,SUP028,COL026,PO0054,Barcode mismatch,Late approval,2026-06-05,2026-06-27,20,Campaign timing affected,Resolved
INC0068,SUP010,COL029,PO0318,Rework required,System data mismatch,2026-09-20,,10,Partial shipment required,Open
INC0069,SUP024,COL008,PO0030,Stock allocation dispute,System data mismatch,2026-05-12,2026-06-03,10,Partial shipment required,Resolved
INC0070,SUP010,COL011,PO0383,Transport strike,Inspection failure,2026-08-28,,26,Launch scope reduced,In Review
INC0071,SUP021,COL024,PO0306,Rework required,Inspection failure,2026-09-18,2026-09-25,14,Partial shipment required,Closed
INC0072,SUP033,COL019,PO0075,Transport strike,Documentation gap,2027-01-09,,20,Extra freight cost,Open
INC0073,SUP004,COL025,PO0003,Product descriptions not localized,Transport disruption,2026-11-29,,9,E-commerce launch delayed,Open
INC0074,SUP033,COL020,PO0324,Product descriptions not localized,Material shortage,2026-07-06,2026-07-09,24,Campaign timing affected,Resolved
INC0075,SUP029,COL022,PO0281,Marketing campaign assets delayed,Transport disruption,2026-11-11,2026-12-02,2,Store allocation changed,Closed
INC0076,SUP026,COL023,PO0289,Supplier capacity issue,Transport disruption,2026-12-02,,2,Launch scope reduced,Open
INC0077,SUP027,COL015,PO0305,Customs hold,Capacity planning,2026-09-17,2026-09-27,16,Campaign timing affected,Closed
INC0078,SUP024,COL008,PO0030,Supplier capacity issue,Transport disruption,2026-06-06,,17,Campaign timing affected,In Review
INC0079,SUP029,COL024,PO0141,Quality inspection failed,Capacity planning,2026-08-15,,20,E-commerce launch delayed,Open
INC0080,SUP011,COL021,PO0046,Size curve mismatch,Transport disruption,2026-07-09,2026-07-19,6,Manual rework required,Closed
INC0081,SUP031,COL024,PO0340,Size curve mismatch,System data mismatch,2026-08-31,2026-09-16,1,Manual rework required,Resolved
INC0082,SUP023,COL017,PO0246,Customs hold,Late approval,2027-01-10,2027-01-27,1,Extra freight cost,Resolved
INC0083,SUP014,COL022,PO0127,Supplier documentation incomplete,Capacity planning,2026-09-19,2026-09-30,24,Manual rework required,Resolved
INC0084,SUP028,COL008,PO0027,Customs hold,Documentation gap,2026-07-13,2026-08-02,7,Extra freight cost,Resolved
INC0085,SUP005,COL013,PO0120,Fabric approval delayed,Material shortage,2026-12-15,,11,Campaign timing affected,Open
INC0086,SUP008,COL017,PO0125,Retail staff training incomplete,Late approval,2027-02-02,,4,Extra freight cost,In Review
INC0087,SUP029,COL007,PO0290,Port congestion,System data mismatch,2026-09-15,2026-10-04,11,Partial shipment required,Closed
INC0088,SUP012,COL017,PO0254,Customs hold,Transport disruption,2027-02-28,,14,Launch scope reduced,In Review
INC0089,SUP028,COL020,PO0348,Factory production backlog,System data mismatch,2026-08-08,,15,Campaign timing affected,Open
INC0090,SUP020,COL018,PO0183,Factory production backlog,Transport disruption,2026-08-21,,12,Launch scope reduced,Open
INC0091,SUP006,COL005,PO0047,Fabric approval delayed,Inspection failure,2026-06-25,,11,E-commerce launch delayed,In Review
INC0092,SUP032,COL011,PO0283,Factory production backlog,Inspection failure,2026-09-24,,25,Extra freight cost,Open
INC0093,SUP027,COL006,PO0301,Labeling compliance issue,Late approval,2026-10-20,,16,Campaign timing affected,In Review
INC0094,SUP034,COL013,PO0219,Transport strike,Late approval,2026-11-12,,17,Launch scope reduced,In Review
INC0095,SUP027,COL015,PO0305,Warehouse slot unavailable,Documentation gap,2026-08-31,2026-09-22,12,Extra freight cost,Resolved
INC0096,SUP012,COL024,PO0191,Size curve mismatch,Material shortage,2026-10-05,,1,Store allocation changed,Open
INC0097,SUP004,COL019,PO0203,E-commerce product images missing,Capacity planning,2026-12-13,,16,Manual rework required,In Review
INC0098,SUP033,COL027,PO0166,Stock allocation dispute,Capacity planning,2027-02-23,,19,Store allocation changed,In Review
INC0099,SUP017,COL016,PO0011,Retail staff training incomplete,Late approval,2026-06-17,,3,Launch scope reduced,In Review
INC0100,SUP018,COL023,PO0042,Late sample approval,Material shortage,2027-01-04,,1,Partial shipment required,Open
INC0101,SUP011,COL007,PO0013,Stock allocation dispute,Transport disruption,2026-08-30,2026-09-15,1,E-commerce launch delayed,Closed
INC0102,SUP012,COL017,PO0254,Sustainability certificate missing,Material shortage,2027-02-09,2027-02-22,18,E-commerce launch delayed,Resolved
INC0103,SUP021,COL011,PO0121,Marketing campaign assets delayed,Material shortage,2026-10-17,,2,Extra freight cost,In Review
INC0104,SUP004,COL029,PO0197,Marketing campaign assets delayed,System data mismatch,2026-07-11,,4,Campaign timing affected,In Review
INC0105,SUP004,COL019,PO0355,Barcode mismatch,System data mismatch,2026-11-23,,25,Launch scope reduced,Open
INC0106,SUP020,COL014,PO0092,Packaging approval delayed,Late approval,2026-09-24,2026-10-07,6,Store allocation changed,Resolved
INC0107,SUP001,COL022,PO0158,Stock allocation dispute,Capacity planning,2026-10-05,2026-10-10,1,Launch scope reduced,Closed
INC0108,SUP011,COL024,PO0299,Size curve mismatch,Capacity planning,2026-07-13,2026-07-26,27,Campaign timing affected,Closed
INC0109,SUP018,COL030,PO0085,Sustainability certificate missing,Material shortage,2026-11-03,2026-11-10,18,Extra freight cost,Closed
INC0110,SUP012,COL029,PO0031,Sustainability certificate missing,Capacity planning,2026-08-15,,18,Partial shipment required,In Review
INC0111,SUP010,COL006,PO0111,Fabric approval delayed,Documentation gap,2026-11-15,,18,Campaign timing affected,In Review
INC0112,SUP015,COL021,PO0060,Pricing not approved,Material shortage,2026-07-28,2026-08-12,1,Partial shipment required,Resolved
INC0113,SUP019,COL005,PO0362,Size curve mismatch,Inspection failure,2026-06-05,,15,E-commerce launch delayed,Open
INC0114,SUP013,COL012,PO0321,Pricing not approved,Late approval,2026-11-22,2026-12-05,11,E-commerce launch delayed,Resolved
INC0115,SUP024,COL020,PO0253,Transport strike,Capacity planning,2026-05-16,2026-06-06,18,Store allocation changed,Closed
INC0116,SUP028,COL005,PO0343,Warehouse slot unavailable,System data mismatch,2026-04-26,2026-05-12,20,E-commerce launch delayed,Resolved
INC0117,SUP010,COL029,PO0318,Fabric approval delayed,Inspection failure,2026-09-15,,6,Extra freight cost,In Review
INC0118,SUP025,COL014,PO0071,Fabric approval delayed,Inspection failure,2026-09-08,,3,Extra freight cost,In Review
INC0119,SUP002,COL028,PO0350,Pricing not approved,Late approval,2026-07-28,2026-08-01,19,Campaign timing affected,Resolved
INC0120,SUP001,COL014,PO0212,E-commerce product images missing,Capacity planning,2026-08-15,2026-08-29,11,Store allocation changed,Closed
INC0121,SUP016,COL027,PO0320,Sustainability certificate missing,Inspection failure,2027-02-02,2027-02-09,5,Extra freight cost,Resolved
INC0122,SUP031,COL014,PO0351,Size curve mismatch,System data mismatch,2026-08-22,,5,Launch scope reduced,Open
INC0123,SUP032,COL016,PO0122,Supplier capacity issue,Transport disruption,2026-07-05,2026-07-09,10,Campaign timing affected,Resolved
INC0124,SUP006,COL007,PO0043,Packaging approval delayed,Documentation gap,2026-09-21,,10,Launch scope reduced,Open
INC0125,SUP001,COL025,PO0084,Labeling compliance issue,Capacity planning,2026-11-25,,1,Extra freight cost,In Review
INC0126,SUP033,COL027,PO0166,Barcode mismatch,Documentation gap,2027-02-26,,16,Manual rework required,In Review
INC0127,SUP033,COL020,PO0324,Stock allocation dispute,Late approval,2026-07-02,2026-07-25,20,Extra freight cost,Closed
INC0128,SUP022,COL004,PO0339,E-commerce product images missing,System data mismatch,2026-06-21,2026-07-07,1,Partial shipment required,Resolved
INC0129,SUP004,COL025,PO0003,E-commerce product images missing,Material shortage,2026-11-10,2026-12-01,18,Manual rework required,Resolved
INC0130,SUP020,COL004,PO0198,Product descriptions not localized,Capacity planning,2026-07-18,,7,E-commerce launch delayed,In Review
INC0131,SUP009,COL021,PO0161,Port congestion,Capacity planning,2026-06-30,,2,Extra freight cost,In Review
INC0132,SUP005,COL007,PO0082,Supplier capacity issue,Transport disruption,2026-09-24,2026-10-09,15,Launch scope reduced,Resolved
INC0133,SUP006,COL005,PO0047,Labeling compliance issue,Inspection failure,2026-06-30,2026-07-08,2,Extra freight cost,Resolved
INC0134,SUP012,COL010,PO0130,Quality inspection failed,Late approval,2026-06-11,2026-06-20,14,Partial shipment required,Resolved
INC0135,SUP003,COL005,PO0366,Factory production backlog,Transport disruption,2026-07-03,,11,Manual rework required,Open
INC0136,SUP016,COL024,PO0124,E-commerce product images missing,System data mismatch,2026-08-09,2026-08-18,3,Extra freight cost,Resolved
INC0137,SUP002,COL017,PO0202,Supplier capacity issue,Material shortage,2026-12-11,2027-01-01,8,Store allocation changed,Resolved
INC0138,SUP022,COL015,PO0280,Size curve mismatch,Inspection failure,2026-08-08,,22,Launch scope reduced,Open
INC0139,SUP006,COL022,PO0144,Rework required,System data mismatch,2026-11-14,2026-11-25,5,Store allocation changed,Resolved
INC0140,SUP017,COL027,PO0378,Warehouse slot unavailable,Late approval,2027-01-25,2027-01-31,1,Manual rework required,Closed
INC0141,SUP008,COL004,PO0374,Retail staff training incomplete,Late approval,2026-08-08,,14,Extra freight cost,Open
INC0142,SUP019,COL019,PO0093,Size curve mismatch,Capacity planning,2026-12-17,2027-01-04,22,Campaign timing affected,Closed
INC0143,SUP032,COL011,PO0193,E-commerce product images missing,System data mismatch,2026-10-12,,1,Manual rework required,In Review
INC0144,SUP026,COL027,PO0116,Warehouse slot unavailable,Documentation gap,2027-01-24,,2,Store allocation changed,Open
INC0145,SUP025,COL005,PO0107,Product descriptions not localized,Material shortage,2026-06-12,2026-07-05,13,Launch scope reduced,Resolved
INC0146,SUP028,COL019,PO0017,Supplier capacity issue,Late approval,2027-02-01,2027-02-20,17,Partial shipment required,Resolved
INC0147,SUP017,COL016,PO0240,Port congestion,Material shortage,2026-06-06,2026-06-17,5,Campaign timing affected,Closed
INC0148,SUP020,COL011,PO0195,Port congestion,Capacity planning,2026-09-14,,1,Launch scope reduced,In Review
INC0149,SUP026,COL022,PO0023,Size curve mismatch,Documentation gap,2026-10-25,,8,Partial shipment required,In Review
INC0150,SUP031,COL005,PO0104,Supplier capacity issue,Capacity planning,2026-06-11,2026-06-21,1,Extra freight cost,Closed
INC0151,SUP004,COL019,PO0355,Marketing campaign assets delayed,Capacity planning,2026-11-12,2026-11-26,8,E-commerce launch delayed,Resolved
INC0152,SUP020,COL005,PO0088,Pricing not approved,Inspection failure,2026-07-13,2026-07-23,17,E-commerce launch delayed,Resolved
INC0153,SUP028,COL026,PO0054,Late sample approval,Capacity planning,2026-05-11,2026-05-21,19,Manual rework required,Resolved
INC0154,SUP001,COL005,PO0189,Supplier documentation incomplete,Capacity planning,2026-04-16,,7,Manual rework required,Open
INC0155,SUP010,COL011,PO0383,Late sample approval,System data mismatch,2026-09-07,2026-09-25,22,Manual rework required,Closed
INC0156,SUP025,COL007,PO0089,Packaging approval delayed,Late approval,2026-11-02,2026-11-13,20,Partial shipment required,Resolved
INC0157,SUP007,COL005,PO0268,Retail staff training incomplete,Documentation gap,2026-07-11,,20,Partial shipment required,Open
INC0158,SUP027,COL006,PO0301,Fabric approval delayed,Material shortage,2026-10-19,2026-11-03,1,Store allocation changed,Closed
INC0159,SUP006,COL018,PO0087,Marketing campaign assets delayed,Late approval,2026-10-16,2026-11-07,7,Campaign timing affected,Resolved
INC0160,SUP026,COL023,PO0289,Retail staff training incomplete,System data mismatch,2026-12-04,2026-12-12,6,Campaign timing affected,Closed
INC0161,SUP022,COL015,PO0145,Customs hold,Late approval,2026-10-04,2026-10-27,1,Store allocation changed,Resolved
INC0162,SUP034,COL003,PO0252,Barcode mismatch,Material shortage,2026-11-14,2026-12-04,16,Extra freight cost,Resolved
INC0163,SUP024,COL020,PO0253,Size curve mismatch,System data mismatch,2026-05-12,2026-05-28,13,Partial shipment required,Resolved
INC0164,SUP006,COL002,PO0209,Port congestion,Documentation gap,2026-09-07,2026-09-21,13,Partial shipment required,Resolved
INC0165,SUP026,COL007,PO0036,Customs hold,Capacity planning,2026-10-02,,13,Manual rework required,In Review
